idade,tempo_de_emprego,tipo_moradia,tipo_moradia_id,objetivo_emprestimo,objetivo_emprestimo_id,montante_emprestimo,taxa_juros,renda_por_ano,porc_empr_renda_anual,class_risco_historico,class_risco_historico_id,inadimplencia_hist,qtd_anos_primeiro_emprestimo,risco_emprestimo
21,5.0,propria,3,educacao,1,1000,11.14,9600,0.1,B,1,0,2,0
25,1.0,hipoteca,1,saude,5,5500,12.87,9600,0.57,C,2,0,3,1
23,4.0,alugada,0,saude,5,35000,15.23,65500,0.53,C,2,0,2,1
24,8.0,alugada,0,saude,5,35000,14.27,54400,0.55,C,2,1,4,1
21,2.0,propria,3,risco,4,2500,7.14,9900,0.25,A,0,0,2,1
26,8.0,alugada,0,educacao,1,35000,12.42,77100,0.45,B,1,0,3,1
24,5.0,alugada,0,saude,5,35000,11.11,78956,0.44,B,1,0,4,1
24,8.0,alugada,0,pessoal,2,35000,8.9,83000,0.42,A,0,0,2,1
21,6.0,propria,3,risco,4,1600,14.74,10000,0.16,D,3,0,3,1
22,6.0,alugada,0,risco,4,35000,10.37,85000,0.41,B,1,0,4,1
21,2.0,propria,3,reformar_casa,3,4500,8.63,10000,0.45,A,0,0,2,1
23,2.0,alugada,0,risco,4,35000,7.9,95000,0.37,A,0,0,2,1
26,4.0,alugada,0,educacao,1,35000,18.39,108160,0.32,E,4,0,4,1
23,2.0,alugada,0,educacao,1,35000,7.9,115000,0.3,A,0,0,4,0
23,0.0,alugada,0,educacao,1,35000,7.9,120000,0.29,A,0,0,4,0
23,7.0,alugada,0,saude,5,35000,20.25,92111,0.32,F,5,0,4,1
23,8.0,alugada,0,consolidacao_debito,0,35000,18.25,113000,0.31,D,3,0,4,1
24,8.0,hipoteca,1,educacao,1,1750,10.99,10800,0.16,B,1,0,2,1
25,2.0,alugada,0,risco,4,35000,7.49,162500,0.22,A,0,0,4,0
25,9.0,alugada,0,pessoal,2,34800,16.77,137000,0.25,E,4,1,2,0
22,4.0,alugada,0,educacao,1,34000,17.58,65000,0.52,D,3,0,4,1
24,0.0,propria,3,pessoal,2,1500,7.29,10980,0.14,A,0,0,3,0
22,3.0,alugada,0,pessoal,2,33950,14.54,80000,0.42,D,3,1,4,1
24,8.0,alugada,0,reformar_casa,3,33000,12.68,67746,0.49,C,2,0,3,1
21,3.0,hipoteca,1,risco,4,4575,17.74,11000,0.42,E,4,1,3,1
